Name,Price,Producer,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU
AMD Ryzen 3 3200G,$100.81,AMD,3.6 GHz,4.0 GHz,TRUE,4,4,65 W,AM4,Radeon RX Vega 8
Intel Core i3-13100F,$116.05,Intel,3.4 GHz,GHz,FALSE,4,8,58 W,1700,FALSE
AMD Ryzen 3 3100,$120.4,AMD,3.6 GHz,3.9 GHz,TRUE,4,8,65 W,AM4,FALSE
AMD Ryzen 5 5600G,$122.59,AMD,3.9 GHz,4.4 GHz,TRUE,6,12,65 W,AM4,"Radeon RX Vega 7, Cezanne"
AMD Ryzen 5 4500,$126.93,AMD,3.6 GHz,4.1 GHz,TRUE,6,12,65 W,AM4,FALSE
AMD Ryzen 5 5600,$133.46,AMD,3.5 GHz,4.4 GHz,TRUE,6,12,65 W,AM4,FALSE
Intel Core i3-13100,$137.81,Intel,3.4 GHz,GHz,FALSE,4,8,60 W,1700,FALSE
Intel Core i5-12400F,$144.35,Intel,2.5 GHz,4.4 GHz,FALSE,6,12,65 W,1700,FALSE
AMD Ryzen 3 3300X,$150.09,AMD,3.8 GHz,4.3 GHz,TRUE,4,8,65 W,AM4,FALSE
AMD Ryzen 5 3400G,$150.87,AMD,3.7 GHz,4.2 GHz,TRUE,4,8,65 W,AM4,Radeon RX Vega 11
AMD Ryzen 5 5600X,$158.86,AMD,3.7 GHz,4.6 GHz,TRUE,6,12,65 W,AM4,FALSE
Intel Core i5-10400,$163.2,Intel,2.9 GHz,4.0 GHz,FALSE,6,12,65 W,1200,Intel UHD 630
AMD Ryzen 5 3600,$166.8,AMD,3.6 GHz,4.2 GHz,TRUE,6,12,65 W,AM4,FALSE
Intel Core i5-12400,$173.36,Intel,2.5 GHz,4.4 GHz,FALSE,6,12,65 W,1700,Intel UHD 730
AMD Ryzen 7 5700X,$187.87,AMD,3.4 GHz,4.6 GHz,TRUE,8,16,65 W,AM4,FALSE
AMD Ryzen 7 5700G,$188.59,AMD,3.8 GHz,4.6 GHz,TRUE,8,16,65 W,AM4,"Radeon RX Vega 8, Cezanne"
Intel Core i5-13400F,$195.84,Intel,3.3 GHz,GHz,FALSE,6,12,65 W,1700,FALSE
AMD Ryzen 5 7600X,$202.37,AMD,4.7 GHz,5.3 GHz,TRUE,6,12,105 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 5 7600,$216.89,AMD,3.8 GHz,5.1 GHz,TRUE,6,12,65 W,AM5,Ryzen 7000 Graphics
Intel Core i7-12700K,$217.61,Intel,3.6 GHz,5.0 GHz,TRUE,8,16,125 W,1700,Intel UHD 770
Intel Core i5-13400,$224.13,Intel,2.5 GHz,GHz,FALSE,6,12,65 W,1700,FALSE
AMD Ryzen 9 5950X,$224.86,AMD,3.4 GHz,4.9 GHz,TRUE,16,32,105 W,AM4,FALSE
AMD Ryzen 7 5800X,$231.38,AMD,3.8 GHz,4.7 GHz,TRUE,8,16,105 W,AM4,FALSE
Intel Core i5-12600K,$231.38,Intel,3.6 GHz,4.9 GHz,TRUE,6,12,125 W,1700,Intel UHD 770
Intel Core i5-13500,$238.65,Intel,2.5 GHz,GHz,FALSE,6,12,65 W,1700,FALSE
AMD Ryzen 5 3600XT,$239.37,AMD,3.8 GHz,4.5 GHz,TRUE,6,12,95 W,AM4,FALSE
Intel Core i5-12600KF,$268.0,Intel,3.7 GHz,4.9 GHz,TRUE,6,12,125 W,1700,FALSE
Intel Core i7-10700F,$275.08,Intel,2.9 GHz,GHz,TRUE,8,16,65 W,1200,FALSE
Intel Core i5-11600K,$276.74,Intel,3.9 GHz,GHz,TRUE,6,12,125 W,1200,Intel UHD 750
Intel Core i7-12700F,$282.17,Intel,2.1 GHz,4.9 GHz,FALSE,8,16,65 W,1700,FALSE
Intel Core i7-12700KF,$282.17,Intel,3.6 GHz,5.0 GHz,TRUE,8,16,125 W,1700,FALSE
AMD Ryzen 7 3800XT,$282.89,AMD,3.9 GHz,4.7 GHz,TRUE,8,16,105 W,AM4,FALSE
Intel Core i7-11700K,$304.55,Intel,3.6 GHz,GHz,TRUE,8,16,125 W,1200,Intel UHD 750
AMD Ryzen 7 5800X3D,$304.65,AMD,3.4 GHz,4.5 GHz,FALSE,8,16,105 W,AM4,FALSE
Intel Core i9-10850K,$317.85,Intel,3.6 GHz,5.2 GHz,TRUE,10,20,125 W,1200,Intel UHD 630
AMD Ryzen 7 7700X,$318.44,AMD,4.5 GHz,5.4 GHz,TRUE,8,16,105 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 7 7700,$319.16,AMD,3.8 GHz,5.3 GHz,TRUE,8,16,65 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 5900X,$325.69,AMD,3.7 GHz,4.8 GHz,TRUE,12,24,105 W,AM4,FALSE
Intel Core i7-13700,$340.19,Intel,4.0 GHz,GHz,FALSE,8,16,65 W,1700,FALSE
Intel Core i5-11400,$347.43,Intel,2.6 GHz,GHz,FALSE,6,12,65 W,1200,Intel UHD 730
Intel Core i7-13700F,$347.45,Intel,4.0 GHz,GHz,FALSE,8,16,65 W,1700,FALSE
AMD Ryzen 5 3600X,$378.86,AMD,3.8 GHz,4.4 GHz,TRUE,6,12,95 W,AM4,FALSE
AMD Ryzen 7 7800X3D,$384.44,AMD,4.2 GHz,5.0 GHz,FALSE,8,16,120 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 7900,$398.22,AMD,3.7 GHz,5.4 GHz,TRUE,12,24,65 W,AM5,Ryzen 7000 Graphics
Intel Core i9-12900K,$405.47,Intel,3.2 GHz,5.2 GHz,TRUE,8,16,125 W,1700,Intel UHD 770
Intel Core i9-12900KF,$419.98,Intel,3.2 GHz,5.2 GHz,TRUE,8,16,125 W,1700,FALSE
AMD Ryzen 9 7900X,$424.34,AMD,4.7 GHz,5.6 GHz,TRUE,12,24,170 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 7 3800X,$433.96,AMD,3.9 GHz,4.5 GHz,TRUE,8,16,105 W,AM4,FALSE
Intel Core i9-11900F,$456.98,Intel,2.5 GHz,GHz,FALSE,8,16,65 W,1200,FALSE
Intel Core i9-10900K,$462.75,Intel,3.7 GHz,5.3 GHz,TRUE,10,20,125 W,1200,Intel UHD 630
Intel Core i9-12900,$485.99,Intel,2.4 GHz,5.1 GHz,FALSE,8,16,65 W,1700,Intel UHD 770
AMD Ryzen 9 7900X3D,$507.04,AMD,4.4 GHz,5.6 GHz,FALSE,12,24,120 W,AM5,Ryzen 7000 Graphics
AMD Athlon 3000G,$53.22,AMD,3.5 GHz,,TRUE,2,4,35 W,AM4,Radeon RX Vega 3
AMD Ryzen 9 7950X,$544.02,AMD,4.5 GHz,5.7 GHz,TRUE,16,32,170 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 7950X3D,$550.55,AMD,4.2 GHz,5.7 GHz,FALSE,16,32,120 W,AM5,Ryzen 7000 Graphics
AMD Ryzen 9 3900X,$570.33,AMD,3.8 GHz,4.6 GHz,TRUE,12,24,105 W,AM4,FALSE
AMD Ryzen 7 3700X,$601.32,AMD,3.6 GHz,4.4 GHz,TRUE,8,16,65 W,AM4,FALSE
Intel Core i9-13900KS,$688.38,Intel,3.2 GHz,3.0 GHz,TRUE,8,16,125 W,1700,FALSE
AMD Ryzen 9 3950X,$735.59,AMD,3.5 GHz,4.7 GHz,TRUE,16,32,105 W,AM4,FALSE
AMD Ryzen 3 4100,$86.86,AMD,3.8 GHz,4.0 GHz,TRUE,4,8,65 W,AM4,FALSE
AMD Ryzen 5 5500,$87.04,AMD,3.6 GHz,4.2 GHz,TRUE,6,12,65 W,AM4,FALSE
Intel Core i3-12100,$87.04,Intel,3.3 GHz,4.3 GHz,FALSE,4,8,60 W,1700,Intel UHD 730
Intel Core i3-12100F,$87.04,Intel,3.3 GHz,4.3 GHz,FALSE,4,8,60 W,1700,FALSE
