Name,Price,Producer,Width,Depth,Height,Motherboard,Power Supply,Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation
Corsair 4000D Airflow Tempered Glass Midi-Tower - black Window,$100.19,Corsair,230 mm,453 mm,466 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400S Midi-Tower, Tempered Glass, black - isolated",$100.81,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,TRUE
Carbide Series 330R Titanium Edition Silent Mid-Tower,$101.07,Corsair,210 mm,484 mm,495 mm,ATX,ATX,,FALSE,FALSE,FALSE,TRUE
Fractal Design Meshify C Tempered Glass Midi-Tower - black,$101.55,Fractal Design,217 mm,395 mm,440 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"BitFenix Enso Mesh RGB Midi-Tower, Tempered Glass - white",$105.9,BitFenix,210 mm,454 mm,489 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400S Midi-Tower, Tempered Glass, anthrazit - isolated",$106.31,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,anthracite,TRUE,TRUE,TRUE,TRUE
NZXT H500i Midi-Tower - black/red Window,$107.34,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - black",$107.54,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Carbide Series 330R Quiet Mid-Tower,$109.95,Corsair,210 mm,484 mm,495 mm,ATX,ATX,,FALSE,FALSE,FALSE,TRUE
Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Silver,$110.69,Corsair,220 mm,474 mm,518 mm,ATX,ATX,black/silver,FALSE,FALSE,FALSE,FALSE
"Silverstone SST-RL06WS-GP Redline Midi-Tower, TG - white/silver",$111.34,Silverstone,200 mm,455 mm,477 mm,ATX,ATX,"black, silver, white",TRUE,TRUE,TRUE,FALSE
