Name,Price,Producer,Ram Type,Size,Clock,Timings,Sticks
Corsair Vengeance LPX Series black,$39.89,Corsair,DDR4-2666,16 GB,2666,15-15-15-36,1
Corsair Vengeance LPX Series black DDR4-2666,$50.77,Corsair,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair Vengeance LPX Series white,$56.64,Corsair,DDR4-2666,16 GB,2666,16-18-18-35,2
Corsair Vengeance RGB Pro Series black,$61.65,Corsair,DDR4-2666,16 GB,2666,16-18-18-35,2
Crucial Ballistix Sport AT,$63.83,Crucial,DDR4-2666,16 GB,2666,16-18-18,1
Crucial Ballistix Sport AT,$66.31,Crucial,DDR4-2666,16 GB,2666,16-18-18,2
Crucial Ballistix Sport LT Series grey DDR4-2666,$67.21,Crucial,DDR4-2666,16 GB,2666,16-18-18,2
Crucial Ballistix Sport LT Series red,$64.91,Crucial,DDR4-2666,16 GB,2666,16-18-18,4
Crucial Ballistix Sport LT Series red,$66.81,Crucial,DDR4-2666,16 GB,2666,16-18-18,1
Crucial Ballistix Sport LT Series white,$64.79,Crucial,DDR4-2666,16 GB,2666,16-18-18,1
Corsair Vengeance RGB Pro Series black,$87.76,Corsair,DDR4-2933,16 GB,2933,16-18-18-36,2
Corsair LPX 16GB,$72.53,Corsair,DDR4-3000,16 GB,3000,15-17-17-35,1
Corsair SO-Dimm Vengeance Series DDR4-3000,$76.16,Corsair,DDR4-3000,16 GB,3000,16-18-18-36,2
Corsair Vengeance LPX Series black,$47.14,Corsair,DDR4-3000,16 GB,3000,15-17-17-35,2
Corsair Vengeance LPX Series black,$49.92,Corsair,DDR4-3000,16 GB,3000,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$72.53,Corsair,DDR4-3000,16 GB,3000,15-17-17-35,2
Crucial Ballistix Sport AT,$77.22,Crucial,DDR4-3000,16 GB,3000,17-19-19,2
Crucial Ballistix Sport LT series grey,$73.79,Crucial,DDR4-3000,16 GB,3000,15-16-16,2
Crucial Ballistix Sport LT series white,$74.74,Crucial,DDR4-3000,16 GB,3000,15-16-16,1
Crucial Ballistix Sport LT series white,$75.92,Crucial,DDR4-3000,16 GB,3000,15-16-16,2
Corsair LPX 16GB,$43.52,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,4
Corsair Vengeance LPX black,$38.44,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance LPX Series black DDR4-3200,$47.14,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance LPX Series white,$47.13,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$10.84,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series black,$50.04,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro Series white,$61.65,Corsair,DDR4-3200,16 GB,3200,16-18-18-36,2
Corsair Vengeance RGB Pro SL,$54.4,Corsair,DDR4-3200,16 GB,3200,"15-15-15-36, 16-20-20-38",2
Corsair Vengeance RGB Pro SL,$49.32,Corsair,DDR4-3200,16 GB,3200,16-20-20-38,2
Corsair Vengeance RGB RS,$61.19,Corsair,DDR4-3200,16 GB,3200,16-20-20-38,2
G.Skill Trident Z DDR4-3200 16GB,$58.02,G.Skill,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
