Name,Price,Producer,Form Factor,Protocol,Size,NAND,Controller
Intel Optane 900P Series 2 280 GB,$337.7,Intel,M.2,NVM,280 GB,3D XPoint,Intel EAU01D76 SLL3D
Intel Optane 900P AIC Solid State Drive 480 GB,$642.3,Intel,M.2,NVM,480 GB,3D XPoint,Intel SLL3D
Kingston SSDNow V300 Series,$167.4,Kingston,SATA,SATA,480 GB,MLC,LSI SandForce SF-2281
Crucial MX300,$196.36,Crucial,SATA,SATA,1000 GB,TLC,Marvell 88SS1074
Crucial MX300,$321.94,Crucial,SATA,SATA,2000 GB,TLC,Marvell 88SS1074
Kingston SSDNow UV500 Series 240 GB,$40.58,Kingston,SATA,SATA,240 GB,TLC,Marvell 88SS1074
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive,$47.14,Kingston,M.2,SATA,240 GB,TLC,Marvell 88SS1074
Western Digital Blue,$93.46,Western Digital,SATA,SATA,250 GB,TLC,Marvell 88SS1074
Crucial MX300,$66.92,Crucial,SATA,SATA,275 GB,TLC,Marvell 88SS1074
Kingston SSDNow UV500 Series 480 GB,$63.83,Kingston,SATA,SATA,480 GB,TLC,Marvell 88SS1074
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 480 GB,$99.09,Kingston,M.2,SATA,480 GB,TLC,Marvell 88SS1074
Western Digital Blue,$146.49,Western Digital,SATA,SATA,500 GB,TLC,Marvell 88SS1074
Crucial MX300,$131.29,Crucial,SATA,SATA,525 GB,TLC,Marvell 88SS1074
Crucial MX300 M.2 Solid State Drive,$137.05,Crucial,M.2,SATA,525 GB,TLC,Marvell 88SS1074
Kingston SSDNow UV500 Series 960 GB,$134.91,Kingston,SATA,SATA,960 GB,TLC,Marvell 88SS1074
Western Digital Black NVMe M.2 Solid State Drive,$109.48,Western Digital,M.2,NVM,256 GB,TLC,Marvell 88SS1093
Western Digital Black NVMe M.2 Solid State Drive,$49.57,Western Digital,M.2,NVM,512 GB,TLC,Marvell 88SS1093
Crucial P5 1000 GB,$108.8,Crucial,M.2,NVM,1000 GB,TLC,Micron
Crucial P5 Plus 1000 GB,$88.63,Crucial,M.2,NVM,1000 GB,TLC,Micron
Crucial P5 Plus 2000 GB,$181.73,Crucial,M.2,NVM,2000 GB,TLC,Micron
Crucial P5 2000 GB,$251.01,Crucial,M.2,NVM,2000 GB,TLC,Micron
Crucial P5 250 GB,$50.77,Crucial,M.2,NVM,250 GB,TLC,Micron
Crucial P5 Plus 500 GB,$61.75,Crucial,M.2,NVM,500 GB,TLC,Micron
Crucial P5 500 GB,$68.9,Crucial,M.2,NVM,500 GB,TLC,Micron
Corsair MP600 Pro NH 1000 GB,$76.16,Corsair,M.2,NVM,1000 GB,3D TLC,Phison PS2018-E18
Corsair MP600 Pro NH 4000 GB,$855.94,Corsair,M.2,NVM,4000 GB,3D TLC,Phison PS2018-E18
Corsair MP600 GS 1000 GB,$74.5,Corsair,M.2,NVM,1000 GB,3D TLC,Phison PS2021-E21T
Corsair MP600 GS 2000 GB,$179.35,Corsair,M.2,NVM,2000 GB,3D TLC,Phison PS2021-E21T
Corsair MP600 GS 500 GB,$43.52,Corsair,M.2,NVM,500 GB,3D TLC,Phison PS2021-E21T
Corsair Force Series LS,$323.34,Corsair,SATA,SATA,960 GB,MLC,Phison PS3108
Kingston Solid State Drive,$33.68,Kingston,M.2,SATA,480 GB,MLC,Phison PS3110
Corsair Neutron Series XTi,$852.24,Corsair,SATA,SATA,1920 GB,MLC,Phison PS3110-S10
HyperX Savage Series,$378.68,HyperX,SATA,SATA,960 GB,MLC,Phison PS3110-S10
Gigabyte UD Pro Series 256 GB,$61.24,Gigabyte,SATA,SATA,256 GB,TLC,Phison PS3110-S10 (8 Kanäle)
Kingston A400 - 960 GB 960 GB,$50.75,Kingston,SATA,SATA,960 GB,TLC,Phison PS3111-S11
Kingston SSDNow A400 Series 240 GB,$21.75,Kingston,SATA,SATA,240 GB,TLC,Phison PS3111-S-11
Kingston SSDNow A400 Series 480 GB,$31.17,Kingston,SATA,SATA,480 GB,TLC,Phison PS3111-S-11
Kingston A1000 NVMe M.2 Solid State Drive,$50.38,Kingston,M.2,NVM,240 GB,TLC,Phison PS5008-E8
Sabrent Rocket,$97.92,Sabrent,M.2,NVM,1000 GB,TLC,Phison PS5012
Sabrent Rocket,$49.03,Sabrent,M.2,NVM,256 GB,TLC,Phison PS5012
Sabrent Rocket,$87.77,Sabrent,M.2,NVM,512 GB,TLC,Phison PS5012
Gigabyte Aorus 256 GB,$88.21,Gigabyte,M.2,NVM,256 GB,TLC,Phison PS5012-E12
Gigabyte Aorus 512 GB,$107.38,Gigabyte,M.2,NVM,512 GB,TLC,Phison PS5012-E12
Seagate FireCuda 520 2000 GB,$335.72,Seagate,M.2,NVM,2000 GB,TLC,Phison PS5012-E12 mit 8 Kanälen
Seagate FireCuda 520 500 GB,$101.55,Seagate,M.2,NVM,500 GB,TLC,Phison PS5012-E12 mit 8 Kanälen
Seagate BarraCuda 510 512 GB,$95.02,Seagate,M.2,NVM,512 GB,TLC,Phison PS5012-E12 mit 8 Kanälen
Crucial P2 1000 GB,$78.51,Crucial,M.2,NVM,1000 GB,TLC,Phison PS5013-E13T
Crucial P2 250 GB,$36.84,Crucial,M.2,NVM,250 GB,TLC,Phison PS5013-E13T
Crucial P2 500 GB,$36.39,Crucial,M.2,NVM,500 GB,TLC,Phison PS5013-E13T
Corsair MP600 Core 1000 GB,$115.32,Corsair,M.2,NVM,1000 GB,TLC,Phison PS5016-E16
Gigabyte Aorus 1000 GB,$288.02,Gigabyte,M.2,NVM,1000 GB,TLC,Phison PS5016-E16
Corsair MP600 Core 2000 GB,$237.28,Corsair,M.2,NVM,2000 GB,TLC,Phison PS5016-E16
Gigabyte Aorus 2000 GB,$454.98,Gigabyte,M.2,NVM,2000 GB,TLC,Phison PS5016-E16
Corsair MP600 Core 4000 GB,$525.89,Corsair,M.2,NVM,4000 GB,QLC,Phison PS5016-E16
Corsair MP600 Pro XT 1000 GB,$72.53,Corsair,M.2,NVM,1000 GB,TLC,Phison PS5018-E18
Corsair MP600 Pro XT 2000 GB,$126.93,Corsair,M.2,NVM,2000 GB,TLC,Phison PS5018-E18
Corsair MP600 Pro XT 4000 GB,$512.29,Corsair,M.2,NVM,4000 GB,TLC,Phison PS5018-E18
Corsair MP600 Pro LPX 1000 GB,$72.53,Corsair,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 1000 GB,$87.04,Seagate,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro 1000 GB,$94.31,Corsair,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 2000 GB,$141.44,Corsair,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro 2000 GB,$146.64,Corsair,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 2000 GB,$347.45,Seagate,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro Hydro X Edition 2000 GB,$394.6,Corsair,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 4000 GB,$275.64,Corsair,M.2,NVM,4000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 4000 GB,$515.01,Seagate,M.2,NVM,4000 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Corsair MP600 Pro LPX 500 GB,$50.77,Corsair,M.2,NVM,500 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Seagate FireCuda 530 500 GB,$61.65,Seagate,M.2,NVM,500 GB,TLC,"Phison PS5018-E18, 8 Kanäle"
Patriot Burst,$34.81,Patriot,SATA,SATA,240 GB,,Phison S11
Toshiba TR200 240 GB,$56.79,Toshiba,SATA,SATA,240 GB,TLC,Phison S11
Toshiba TR200 480 GB,$123.24,Toshiba,SATA,SATA,480 GB,TLC,Phison S11
Toshiba TR200 960 GB,$262.69,Toshiba,SATA,SATA,960 GB,TLC,Phison S11
Corsair MP600 1000 GB,$162.46,Corsair,M.2,NVM,1000 GB,MLC,Phisons PS5016-E16
Corsair MP600 R2 1000 GB,$68.9,Corsair,M.2,NVM,1000 GB,3D TLC,Phisons PS5016-E16
Corsair MP600 2000 GB,$248.07,Corsair,M.2,NVM,2000 GB,MLC,Phisons PS5016-E16
Corsair MP600 500 GB,$90.66,Corsair,M.2,NVM,500 GB,TLC,Phisons PS5016-E16
Corsair Force Series MP510 240 GB,$49.32,Corsair,M.2,NVM,240 GB,TLC,PS5012-E12
Corsair Force Series MP510 480 GB,$48.72,Corsair,M.2,NVM,480 GB,TLC,PS5012-E12
Corsair Force Series MP510 480 GB,$86.91,Corsair,M.2,NVM,480 GB,TLC,PS5012-E12
Corsair Force Series MP510 960 GB,$96.32,Corsair,M.2,NVM,960 GB,TLC,PS5012-E12
Corsair MP400 R2 1000 GB,$104.44,Corsair,M.2,NVM,1000 GB,QLC,PS5012-E12S
Corsair MP400 1000 GB,$123.31,Corsair,M.2,NVM,1000 GB,QLC,PS5012-E12S
Corsair MP400 R2 2000 GB,$187.78,Corsair,M.2,NVM,2000 GB,QLC,PS5012-E12S
Corsair MP400 R2 4000 GB,$539.67,Corsair,M.2,NVM,4000 GB,QLC,PS5012-E12S
Corsair MP400 4000 GB,$553.45,Corsair,M.2,NVM,4000 GB,QLC,PS5012-E12S
ADATA XPG SX6000 Series,$61.37,ADATA,M.2,NVM,256 GB,TLC,Realtek RTS5760
ADATA XPG SX6000 Series,$142.59,ADATA,M.2,NVM,512 GB,TLC,Realtek RTS5760
Samsung 860 EVO Series 1000 GB,$166.84,SAMSUNG,SATA,SATA,1000 GB,TLC,Samsung MJX
Samsung 860 PRO Series 2000 GB,$443.59,SAMSUNG,SATA,SATA,2000 GB,MLC,Samsung MJX
Samsung 860 EVO Series 500 GB,$130.92,SAMSUNG,SATA,SATA,500 GB,TLC,Samsung MJX
Samsung 870 QVO 8000 GB,$670.69,SAMSUNG,SATA,SATA,8000 GB,MLC,Samsung MKX
Samsung 970 Evo Plus 1000 GB,$145.07,SAMSUNG,M.2,NVM,1000 GB,MLC,Samsung Phoenix
Samsung 970 EVO 1000 GB,$199.72,SAMSUNG,M.2,NVM,1000 GB,MLC,Samsung Phoenix
Samsung 970 PRO 1000 GB,$359.03,SAMSUNG,M.2,NVM,1000 GB,MLC,Samsung Phoenix
Samsung 970 Evo Plus 2000 GB,$290.14,SAMSUNG,M.2,NVM,2000 GB,MLC,Samsung Phoenix
Samsung 970 EVO,$478.74,SAMSUNG,M.2,NVM,2000 GB,MLC,Samsung Phoenix
Samsung 970 Evo Plus 250 GB,$103.91,SAMSUNG,M.2,NVM,250 GB,MLC,Samsung Phoenix
Samsung 970 EVO,$123.31,SAMSUNG,M.2,NVM,250 GB,MLC,Samsung Phoenix
Samsung PM981 256 GB,$10.84,SAMSUNG,M.2,NVM,256 GB,MLC,Samsung Phoenix
Samsung 970 Evo Plus 500 GB,$139.76,SAMSUNG,M.2,NVM,500 GB,MLC,Samsung Phoenix
Samsung 970 EVO 500 GB,$58.67,SAMSUNG,M.2,NVM,500 GB,MLC,Samsung Phoenix
Samsung 970 PRO 512 GB,$145.07,SAMSUNG,M.2,NVM,512 GB,MLC,Samsung Phoenix
Samsung 960 EVO,$494.78,SAMSUNG,M.2,NVM,1000 GB,TLC,Samsung Polaris
Samsung 960 PRO,$550.92,SAMSUNG,M.2,NVM,1000 GB,MLC,Samsung Polaris
Samsung 960 PRO,$1268.68,SAMSUNG,M.2,NVM,2000 GB,MLC,Samsung Polaris
Samsung 960 EVO,$86.21,SAMSUNG,M.2,NVM,250 GB,TLC,Samsung Polaris
Samsung 960 EVO,$127.48,SAMSUNG,M.2,NVM,500 GB,TLC,Samsung Polaris
Samsung 960 PRO,$271.86,SAMSUNG,M.2,NVM,512 GB,MLC,Samsung Polaris
Western Digital Black SN750 NVMe M.2 Solid State Drive 1000 GB,$107.35,Western Digital,M.2,NVM,1000 GB,TLC,Sandisk
Western Digital Black SN750 Solid State Drive 1000 GB,$204.9,Western Digital,M.2,NVM,1000 GB,TLC,Sandisk
Western Digital Black SN750 NVMe M.2 Solid State Drive 2000 GB,$184.96,Western Digital,M.2,NVM,2000 GB,TLC,Sandisk
Western Digital Black SN750 Solid State Drive 2000 GB,$406.2,Western Digital,M.2,NVM,2000 GB,TLC,Sandisk
Western Digital Black SN750 NVMe M.2 Solid State Drive 250 GB,$56.48,Western Digital,M.2,NVM,250 GB,TLC,Sandisk
Western Digital Black NVMe M.2 Solid State Drive,$86.14,Western Digital,M.2,NVM,250 GB,TLC,Sandisk
Western Digital Black NVMe M.2 Solid State Drive,$132.95,Western Digital,M.2,NVM,500 GB,TLC,Sandisk
Western Digital Black SN750 NVMe M.2 Solid State Drive 500 GB,$61.65,Western Digital,M.2,NVM,500 GB,TLC,Sandisk
Western Digital Black SN750 Solid State Drive 500 GB,$85.21,Western Digital,M.2,NVM,500 GB,TLC,Sandisk
Western Digital Green M.2 Solid State Drive 240 GB,$47.77,Western Digital,M.2,SATA,240 GB,TLC,Silicon Motion SM2256S
Crucial MX500 M.2 Solid State Drive 1000 GB,$106.43,Crucial,M.2,SATA,1000 GB,TLC,Silicon Motion SM2258
Crucial MX500 1000 GB,$59.51,Crucial,SATA,SATA,1000 GB,TLC,Silicon Motion SM2258
Crucial MX500 2000 GB,$112.41,Crucial,SATA,SATA,2000 GB,TLC,Silicon Motion SM2258
Crucial MX500 250 GB,$38.18,Crucial,SATA,SATA,250 GB,TLC,Silicon Motion SM2258
Crucial MX500 M.2 Solid State Drive 250 GB,$50.05,Crucial,M.2,SATA,250 GB,TLC,Silicon Motion SM2258
Crucial MX500 500 GB,$36.25,Crucial,SATA,SATA,500 GB,TLC,Silicon Motion SM2258
Crucial MX500 M.2 Solid State Drive 500 GB,$79.78,Crucial,M.2,SATA,500 GB,TLC,Silicon Motion SM2258
Crucial BX500 - 240 GB 240 GB,$25.38,Crucial,SATA,SATA,240 GB,TLC,Silicon Motion SM2258XT
Crucial BX500 - 480 GB 480 GB,$32.62,Crucial,SATA,SATA,480 GB,TLC,Silicon Motion SM2258XT
Crucial BX500 - 1 TB 1000 GB,$50.75,Crucial,SATA,SATA,1000 GB,TLC,Silicon Motion SM2259XT
Crucial BX500 - 2 TB 2000 GB,$96.67,Crucial,SATA,SATA,2000 GB,TLC,Silicon Motion SM2259XT
Intel Pro 6000P Series,$97.98,Intel,M.2,NVM,256 GB,TLC,Silicon Motion SM2260
Intel 760p Series 1000 GB,$218.72,Intel,M.2,NVM,1000 GB,TLC,Silicon Motion SM2262
Intel 760p Series 2000 GB,$443.83,Intel,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262
ADATA XPG SX8200 Series,$82.74,ADATA,M.2,NVM,240 GB,,Silicon Motion SM2262
Intel 760p Series,$93.42,Intel,M.2,NVM,256 GB,TLC,Silicon Motion SM2262
ADATA XPG SX8200 Series,$161.48,ADATA,M.2,NVM,480 GB,TLC,Silicon Motion SM2262
Intel 760p Series 512 GB,$111.25,Intel,M.2,NVM,512 GB,TLC,Silicon Motion SM2262
ADATA XPG SX8200 Pro Series 1000 GB,$140.02,ADATA,M.2,NVM,1000 GB,TLC,Silicon Motion SM2262EN
ADATA XPG SX8200 Pro Series 2000 GB,$217.61,ADATA,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262EN
ADATA XPG SX8200 Pro Series 512 GB,$261.13,ADATA,M.2,NVM,512 GB,TLC,Silicon Motion SM2262EN
Crucial P1 1000 GB,$102.15,Crucial,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN
Intel 660P Series,$109.71,Intel,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN
Intel 660P 2000 GB,$338.75,Intel,M.2,NVM,2000 GB,QLC,Silicon Motion SM2263EN
Crucial P1 500 GB,$59.73,Crucial,M.2,NVM,500 GB,QLC,Silicon Motion SM2263EN
Intel 660P 512 GB,$55.03,Intel,M.2,NVM,512 GB,QLC,Silicon Motion SM2263EN
Seagate IronWolf 240 GB,$58.02,Seagate,M.2,NVM,240 GB,TLC,SK Hynix mit 8 Kanälen
Seagate IronWolf 480 GB,$108.8,Seagate,M.2,NVM,480 GB,TLC,SK Hynix mit 8 Kanälen
Seagate IronWolf 960 GB,$213.21,Seagate,M.2,NVM,960 GB,TLC,SK Hynix mit 8 Kanälen
Western Digital Blue SN550 NVMe 1000 GB,$93.56,Western Digital,M.2,NVM,1000 GB,TLC,Western Digital
Western Digital Blue SN550 NVMe 2000 GB,$200.57,Western Digital,M.2,NVM,2000 GB,TLC,Western Digital
Western Digital Blue SN550 NVMe 250 GB,$36.26,Western Digital,M.2,NVM,250 GB,TLC,Western Digital
Western Digital Blue SN550 NVMe 500 GB,$50.77,Western Digital,M.2,NVM,500 GB,TLC,Western Digital
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,$130.56,Western Digital,M.2,NVM,1000 GB,TLC,Western Digital Black G2
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,$144.95,Western Digital,M.2,NVM,1000 GB,TLC,Western Digital Black G2
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,$221.23,Western Digital,M.2,NVM,2000 GB,TLC,Western Digital Black G2
