Name,Price,Producer,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,Boost Clock,Vram,Memory Clock,TDP
MSI GeForce RTX 3080 Gaming Z Trio 10G LHR,$761.64,MSI,323 mm,2.75,3,0,1,3,0,1830 MHz,10 GB,19000 MHz,370 W
MSI GeForce RTX 3080 Ventus 3X Plus 10G OC LHR,$810.24,MSI,305 mm,2.7,2,0,1,3,0,1740 MHz,10 GB,19000 MHz,320 W
PNY GeForce RTX 2080 Ti Blower,$1167.99,PNY,293 mm,2.0,2,0,1,3,0,1545 MHz,11 GB,14000 MHz,260 W
EVGA GeForce RTX 2080 Ti Black Edition Gaming,$1182.35,EVGA,269.2 mm,2.0,2,0,1,3,0,1545 MHz,11 GB,14000 MHz,250 W
ZOTAC GAMING GeForce RTX 2080 Ti AMP! Edition,$1198.53,ZOTAC,308 mm,2.5,2,0,1,3,0,1665 MHz,11 GB,14000 MHz,285 W
EVGA GeForce RTX 2080 Ti XC,$1236.76,EVGA,269.2 mm,2.5,2,0,1,3,0,1635 MHz,11 GB,14000 MHz,285 W
Gigabyte GeForce RTX 2080 Ti Gaming OC,$1239.57,Gigabyte,286.5 mm,2.5,2,0,1,3,0,1650 MHz,11 GB,14000 MHz,250 W
PNY GeForce RTX 2080 Ti XLR8 Gaming OC,$1244.35,PNY,314 mm,2.0,2,0,1,3,0,1545 MHz,11 GB,14000 MHz,260 W
EVGA GeForce RTX 2080 Ti XC Ultra,$1310.75,EVGA,269.2 mm,2.5,2,0,1,3,0,1650 MHz,11 GB,14000 MHz,285 W
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme Waterforce WB 1,$1310.75,Gigabyte,280 mm,2.0,2,0,3,3,0,1770 MHz,11 GB,14000 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme 1,$1416.77,Gigabyte,290 mm,2.5,2,0,3,3,0,1770 MHz,11 GB,14000 MHz,250 W
EVGA GeForce RTX 2080 Ti FTW3 Ultra Gaming iCX,$1419.55,EVGA,301.93 mm,3.0,2,0,1,3,0,1755 MHz,11 GB,14000 MHz,250 W
EVGA GeForce RTX 2080 Ti K|NGP|N Gaming,$1818.51,EVGA,266.7 mm,2.0,3,0,1,3,0,1770 MHz,11 GB,14000 MHz,250 W
Gigabyte GeForce RTX 3060 Gaming OC 12G LHR,$297.4,Gigabyte,282 mm,2.0,1,0,2,2,0,1837 MHz,12 GB,15000 MHz,170 W
Gigabyte GeForce RTX 3060 Vision OC 12G LHR,$355.43,Gigabyte,280 mm,2.0,1,0,2,2,0,1837 MHz,12 GB,15000 MHz,170 W
