Name,Price,Producer,Form Factor,Size,RPM,Cache,Product Page
Seagate BarraCuda Hard Drive 5 TB,$195.02,Seagate,"2.5""",5 TB,5400,128,https://www.amazon.ca/Seagate-BarraCuda-Internal-Hard-Drive/dp/B01M0AADIX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0AADIX
Western Blue Mobile 1 TB,$47.13,Western Digital,"2.5""",1 TB,5400,128,https://www.amazon.ca/dp/B071F9MLJJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 1 TB,$51.86,Seagate,"2.5""",1 TB,5400,128,https://www.amazon.ca/dp/B01LYNQXCP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Blue Mobile 2 TB,$72.52,Western Digital,"2.5""",2 TB,5400,128,https://www.amazon.ca/dp/B079BQS5WQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate FireCuda SSHD 2 TB,$87.04,Seagate,"2.5""",2 TB,5400,128,https://www.amazon.ca/Seagate-Firecuda-2-5-Inch-Internal-ST2000LX001/dp/B01M1NHCZT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1NHCZT
Seagate BarraCuda Pro Hard Drive 1 TB,$58.02,Seagate,"2.5""",1 TB,7200,128,https://www.amazon.ca/Seagate-ST1000LM049-Drives-Cache-Internal/dp/B078TJ17QF?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078TJ17QF
Western Digital Red 1 TB,$90.82,Western Digital,"3.5""",1 TB,5400,16,https://www.amazon.ca/dp/B00EHBES1U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 4 TB,$116.05,Western Digital,"3.5""",4 TB,5400,64,https://www.amazon.ca/Western-Digital-3-5-Inch-Drive-WD40EFRX/dp/B00EHBERSE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EHBERSE
Western Digital Blue 4 TB,$122.23,Western Digital,"3.5""",4 TB,5400,64,https://www.amazon.ca/dp/B013HNYV8I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 1 TB,$43.52,Western Digital,"3.5""",1 TB,5400,64,https://www.amazon.ca/Blue-Desktop-Hard-Disk-Drive/dp/B013HNYVLA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013HNYVLA
Western Digital Red 1 TB,$50.77,Western Digital,"3.5""",1 TB,5400,64,https://www.amazon.ca/dp/B008JJLXO6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 2 TB,$63.1,Western Digital,"3.5""",2 TB,5400,64,https://www.amazon.ca/dp/B013QFRS2S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 2 TB,$72.53,Western Digital,"3.5""",2 TB,5400,64,https://www.amazon.ca/Sata-64mb-Intellipower-Years-Warranty/dp/B008RAWX0U?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B008RAWX0U
Western Digital Blue 3 TB,$80.04,Western Digital,"3.5""",3 TB,5400,64,https://www.amazon.ca/dp/B013HNYV42?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 3 TB,$89.93,Western Digital,"3.5""",3 TB,5400,64,https://www.amazon.ca/dp/B008JJLW4M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 6 TB,$101.55,Western Digital,"3.5""",6 TB,5400,256,https://www.amazon.ca/dp/B07MYL7KVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 6 TB,$137.08,Seagate,"3.5""",6 TB,5400,256,https://www.amazon.ca/dp/B075WX2TKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Blue 6 TB,$137.81,Western Digital,"3.5""",6 TB,5400,256,https://www.amazon.ca/WD-Blue-6TB-Hard-Drive/dp/B07MYKZGVX?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MYKZGVX
Seagate BarraCuda Hard Drive 8 TB,$141.44,Seagate,"3.5""",8 TB,5400,256,https://www.amazon.ca/Seagate-Barracuda-Internal-3-5-Inch-ST8000DM004/dp/B075WYBQXJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075WYBQXJ
Western Digital Red 8 TB,$217.61,Western Digital,"3.5""",8 TB,5400,256,https://www.amazon.ca/dp/B07D3MWMNZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 12 TB,$297.94,Western Digital,"3.5""",12 TB,5400,256,https://www.amazon.ca/dp/B07RQ99XJH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 10 TB,$327.86,Western Digital,"3.5""",10 TB,5400,256,https://www.amazon.ca/dp/B0719498XY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 2 TB,$54.42,Western Digital,"3.5""",2 TB,5400,256,https://www.amazon.ca/dp/B07PGWXQCM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 3 TB,$61.65,Western Digital,"3.5""",3 TB,5400,256,https://www.amazon.ca/dp/B083XVD1FP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Red 4 TB,$84.22,Western Digital,"3.5""",4 TB,5400,256,https://www.amazon.ca/dp/B083XVY99B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 3 TB,$87.04,Seagate,"3.5""",3 TB,5400,256,https://www.amazon.ca/dp/B075YPRCWC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 4 TB,$89.48,Seagate,"3.5""",4 TB,5400,256,https://www.amazon.ca/Seagate-Barracuda-Internal-Computer-ST4000DM004/dp/B071WLPRHN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071WLPRHN
Western Digital Red 14 TB,$457.18,Western Digital,"3.5""",14 TB,5400,512,https://www.amazon.ca/dp/B07YFGMZVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 1 TB,$50.04,Seagate,"3.5""",1 TB,5900,64,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Western Digital Black 2 TB,$100.81,Western Digital,"3.5""",2 TB,7200,64,https://www.amazon.ca/dp/B00FJRS628?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive 4 TB,$123.5,Seagate,"3.5""",4 TB,7200,64,https://www.amazon.ca/dp/B01L1V9X5Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
