Name,Price,Producer,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
Viewsonic VX2276-SMHD,$123.31,ViewSonic,1920 x 1080,60 Hz,"21.5""",IPS,4,1,1,0,1,True,False,False,,https://www.amazon.ca/dp/B01GE9QSVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC G2260VWQ6,$125.7,AOC,1920 x 1080,122 Hz,"21.5""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/AOC-G2260VWQ6-1920x1080-FlickerFree-DisplayPort/dp/B0158L13M4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0158L13M4
Viewsonic VA2265SMH,$129.7,ViewSonic,1920 x 1080,60 Hz,"21.5""",MVA,5,1,0,0,1,True,False,False,,https://www.amazon.ca/ViewSonic-VA2265SMH-1080p-Monitor-HDMI/dp/B00RVGYHFK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00RVGYHFK
AOC C24G1,$140.17,AOC,1920 x 1080,144 Hz,"23.6""",VA,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/AOC-C24G1-Frameless-DisplayPort-Adjustable/dp/B07GD7H18F?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GD7H18F
Viewsonic VX2476-SMHD,$142.17,ViewSonic,1920 x 1080,60 Hz,"23.6""",IPS,4,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B01GV9H1RS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 24GL600F-B,$145.07,LG,1920 x 1080,144 Hz,"23.6""",TN,1,0,0,0,0,False,False,False,,https://www.amazon.ca/LG-Ultragear-24GL600F-B-FreeSync-Technology/dp/B07NHSJ1RF?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NHSJ1RF
Viewsonic VX2457-MHD,$153.78,ViewSonic,1920 x 1080,122 Hz,"23.6""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B018MYTH9U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic ELITE XG240R,$154.0,ViewSonic,1920 x 1080,144 Hz,"23.6""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07L53SFGG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 24BK550Y-B,$141.44,LG,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01N9Z9SFO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Acer CB242Y bir,$166.76,Acer,1920 x 1080,75 Hz,"23.8""",IPS,1,1,0,0,1,True,False,True,FreeSync,https://www.amazon.ca/dp/B07V9ZM155?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic ELITE XG2405,$192.22,ViewSonic,1920 x 1080,144 Hz,"23.8""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B081LTXZ1R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS TUF Gaming VG249Q,$218.33,ASUS,1920 x 1080,144 Hz,"23.8""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B0829S7178?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
EIZO FlexScan EV2450-BK,$409.11,EIZO,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B00NF3EMNA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Philips 243V7QDSB,$68.9,Philips,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,False,False,False,,https://www.amazon.ca/dp/B0BRR4ZGNP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS VE247H,$112.43,ASUS,1920 x 1080,60 Hz,"24""",TN,2,1,0,1,1,True,False,False,,https://www.amazon.ca/dp/B004EFUOY4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC G2460VQ6,$114.59,AOC,1920 x 1080,122 Hz,"24""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/AOC-G2460VQ6-FreeSync-1920x1080-DisplayPort/dp/B01N1YCKAE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1YCKAE
Viewsonic XG2402,$129.12,ViewSonic,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B075D1B4SV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ZOWIE RL2455,$129.51,ZOWIE,1920 x 1080,60 Hz,"24""",TN,1,1,0,1,1,False,False,False,,https://www.amazon.ca/dp/B01H5KKRLO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Viewsonic VX2458-C-MHD,$145.58,ViewSonic,1920 x 1080,144 Hz,"24""",VA,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07H5GNR18?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ZOWIE XL2411,$166.82,ZOWIE,1920 x 1080,144 Hz,"24""",TN,1,1,0,1,0,False,False,True,,https://www.amazon.ca/dp/B01H5KKQTM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AOC G2460PF,$179.86,AOC,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/AOC-G2460PF-24-Inch-Gaming-Monitor/dp/B01BV1XBEI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BV1XBEI
Viewsonic VX2458-MHD,$195.84,ViewSonic,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07JK6XMSN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
LG 24GM79G-B,$203.09,LG,1920 x 1080,144 Hz,"24""",TN,1,1,1,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B06Y634VP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
