Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
MSI Z490-A Pro,$108.07,MSI,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,False,False
Gigabyte Z590 Vision G,$115.32,Gigabyte,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,False,False
MSI MAG Z490 Tomahawk,$118.87,MSI,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,False,False
MSI Z590-A Pro,$130.56,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,False,False
MSI Z590 Pro WiFi,$150.87,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
MSI MPG Z490 Gaming Plus,$152.34,MSI,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,False,False
MSI MAG Z590 Tomahawk WiFi,$163.2,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
MSI MPG Z490 Gaming Edge WiFi,$164.59,MSI,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
ASRock Z490M Pro4,$178.82,ASRock,1200,Z490,True,ATX,DDR4,128 GB,4,4,0.0,0.0,0.0,0.0,False,False
MSI MPG Z590 Gaming Edge WiFi,$181.34,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
MSI MPG Z590 Gaming Plus,$207.75,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,False,False
MSI MPG Z590 Gaming Carbon WiFi,$207.77,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
MSI MPG Z590 Gaming Force,$226.65,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,False,False
ASUS ROG Strix Z490-H Gaming,$229.78,ASUS,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,False,False
MSI MEG Z490 ACE,$245.89,MSI,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,True,False
Gigabyte Z590 Aorus Pro AX,$265.58,Gigabyte,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,0.0,True,False
MSI MEG Z590 ACE,$308.09,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
MSI MEG Z590 ACE Gold Edition,$319.16,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,2.0,1.0,True,False
ASUS ProART Z490-CREATOR 10G,$335.81,ASUS,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,1.0,False,False
ASUS ROG Strix Z490-F Gaming,$338.91,ASUS,1200,Z490,True,ATX,DDR4,128 GB,4,6,0.0,0.0,0.0,0.0,False,False
ASRock Z490 Taichi,$365.71,ASRock,1200,Z490,True,ATX,DDR4,128 GB,4,8,0.0,0.0,0.0,0.0,False,False
ASRock H570 Phantom Gaming 4,$76.16,ASRock,1200,H570,False,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
MSI MAG Z590 Torpedo,$79.05,MSI,1200,Z590,True,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
ASRock Z790 PG Lightning,$103.61,ASRock,1700,Z790,False,ATX,DDR5,128 GB,4,4,0.0,0.0,0.0,1.0,False,False
ASRock B660 Pro RS,$131.51,ASRock,1700,B660,False,ATX,DDR4,128 GB,4,6,0.0,0.0,1.0,1.0,True,False
Gigabyte B660M DS3H AX DDR4,$137.08,Gigabyte,1700,B660,False,ATX,DDR4,128 GB,4,4,0.0,0.0,1.0,1.0,True,False
Gigabyte B660 A Master DDR4,$172.63,Gigabyte,1700,B660,False,ATX,DDR4,128 GB,4,4,0.0,0.0,1.0,1.0,True,False
